Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PsAtt,PsYds,PsTD,Int,RsAtt,RsYds,Y/A,RsTD,Tgt,Rec,RcYds,Y/R,RcTD,Fmb,FL,TotTD,2PM,2PP,FantPt,PPR,PosRank,OvRank
395,DeAnthonyThomas,KAN,WR,25,5,0,0,0,0,0,0,1,6,6.00,0,5,3,29,9.67,1,1,0,1,0,0,10,12.5,160,0
396,DarrenWaller,OAK,TE,26,4,0,0,0,0,0,0,1,21,21.00,0,6,6,75,12.50,0,0,0,0,0,0,10,15.6,78,0
397,DeAndreWashington,OAK,RB,25,10,0,0,0,0,0,0,30,115,3.83,0,1,1,9,9.00,0,1,1,0,0,0,10,11.4,103,0
398,CharcandrickWest,KAN,RB,27,3,0,0,0,0,0,0,2,-1,-0.50,0,3,2,37,18.50,1,0,0,1,0,0,10,11.6,106,0
399,JakeButt,DEN,TE,23,3,3,0,0,0,0,0,0,0,0,0,13,8,85,10.63,0,0,0,0,0,0,9,16.5,80,0
400,DOntaForeman,HOU,RB,22,1,0,0,0,0,0,0,7,-1,-0.14,0,2,2,28,14.00,1,1,0,1,0,0,9,10.7,109,0
401,DevontaFreeman,ATL,RB,26,2,2,0,0,0,0,0,14,68,4.86,0,7,5,23,4.60,0,0,0,0,0,0,9,14.1,108,0
402,CJHam,MIN,RB,25,15,2,0,0,0,0,0,6,8,1.33,0,15,11,85,7.73,0,0,0,0,0,0,9,20.3,107,0
403,DontrellHilliard,CLE,RB,23,11,0,0,1,0,0,1,0,0,0,0,10,9,105,11.67,0,0,0,0,0,0,9,17.5,110,0
404,KevinWhite,CHI,WR,26,9,0,0,0,0,0,0,0,0,0,0,8,4,92,23.00,0,0,0,0,0,0,9,13.2,161,0
405,LukeWillson,DET,TE,28,14,8,0,0,0,0,0,0,0,0,0,19,13,87,6.69,0,0,0,0,0,0,9,21.7,79,0
406,CameronBatson,TEN,WR,23,11,2,0,0,0,0,0,1,1,1.00,0,11,8,82,10.25,0,1,0,0,0,0,8,16.3,162,0
407,CoreyColeman,NYG,WR,24,8,1,0,0,0,0,0,1,5,5.00,0,8,5,71,14.20,0,0,0,0,0,0,8,12.6,163,0
408,TylerConklin,MIN,TE,23,16,3,0,0,0,0,0,0,0,0,0,7,5,77,15.40,0,0,0,0,0,0,8,12.7,81,0
409,MattLengel,CIN,TE,28,11,2,0,0,0,0,0,0,0,0,0,8,3,17,5.67,1,0,0,1,0,0,8,10.7,82,0
410,ElijhaaPenny,NYG,RB,25,14,3,0,0,0,0,0,7,25,3.57,0,9,8,50,6.25,0,0,0,0,0,0,8,15.5,111,0
411,LoganThomas,BUF,QB,27,12,3,1,1,15,0,0,0,0,0,0,17,12,77,6.42,0,0,0,0,0,0,8,20.3,55,0
412,MarkWalton,CIN,RB,21,14,0,0,0,0,0,0,14,34,2.43,0,8,5,41,8.20,0,0,0,0,0,0,8,12.5,112,0
413,DerekAnderson,BUF,QB,35,2,2,42,70,465,0,4,1,-1,-1.00,0,0,0,0,0,0,3,2,0,0,0,7,6.5,57,0
414,KenjonBarner,2TM,RB,29,9,0,0,0,0,0,0,19,71,3.74,0,1,1,3,3.00,0,1,0,0,0,0,7,8.4,113,0
415,BlakeBell,JAX,TE,27,10,4,0,0,0,0,0,0,0,0,0,11,8,67,8.38,0,0,0,0,0,0,7,14.7,85,0
416,TeddyBridgewater,NOR,QB,26,5,1,14,23,118,1,1,11,5,0.45,0,0,0,0,0,0,0,0,0,0,0,7,7.2,56,0
417,PatrickDiMarco,BUF,RB,29,16,5,0,0,0,0,0,1,9,9.00,0,4,3,62,20.67,0,0,0,0,0,0,7,10.1,114,0
418,JermaineGresham,ARI,TE,30,13,11,0,0,0,0,0,0,0,0,0,12,9,94,10.44,0,1,1,0,0,0,7,16.4,83,0
419,XavierGrimble,PIT,TE,26,16,2,0,0,0,0,0,0,0,0,0,8,6,86,14.33,0,1,1,0,0,0,7,12.6,87,0
420,DetrezNewsome,LAC,RB,24,9,0,0,0,0,0,0,11,49,4.45,0,2,2,19,9.50,0,0,0,0,0,0,7,8.8,115,0
421,JoshuaPerkins,PHI,TE,25,9,1,0,0,0,0,0,0,0,0,0,11,5,67,13.40,0,0,0,0,0,0,7,11.7,86,0
422,EricTomlinson,NYJ,TE,26,15,12,0,0,0,0,0,0,0,0,0,14,8,72,9.00,0,0,0,0,0,0,7,15.2,84,0
423,RussellGage,ATL,WR,22,15,0,0,0,0,0,0,0,0,0,0,10,6,63,10.50,0,0,0,0,0,0,6,12.3,165,0
424,DavidGrinnage,JAX,TE,24,4,2,0,0,0,0,0,0,0,0,0,8,6,61,10.17,0,0,0,0,0,0,6,12.1,88,0
425,RyanHewitt,IND,RB,27,12,2,0,0,0,0,0,0,0,0,0,2,1,1,1.00,1,0,0,1,0,0,6,7.1,116,0
426,JJNelson,ARI,WR,26,14,2,0,0,0,0,0,4,0,0.00,0,19,7,64,9.14,0,0,0,0,0,0,6,13.4,164,0
427,DerrickWillies,CLE,WR,24,5,0,0,0,0,0,0,0,0,0,0,5,3,61,20.33,0,1,0,0,0,0,6,9.1,166,0
428,KamarAiken,PHI,WR,29,5,1,0,0,0,0,0,0,0,0,0,7,6,53,8.83,0,0,0,0,0,0,5,11.3,168,0
429,AntonyAuclair,TAM,TE,25,16,10,0,0,0,0,0,0,0,0,0,8,7,48,6.86,0,0,0,0,0,0,5,11.8,92,0
430,MikeBoone,MIN,RB,23,8,0,0,0,0,0,0,11,47,4.27,0,3,2,1,0.50,0,0,0,0,0,0,5,6.8,118,0
431,NoahBrown,DAL,WR,22,8,2,0,0,0,0,0,0,0,0,0,8,5,54,10.80,0,0,0,0,0,0,5,10.4,167,0
432,RicoGathers,DAL,TE,24,15,4,0,0,0,0,0,0,0,0,0,7,3,45,15.00,0,0,0,0,0,0,5,7.5,94,0
433,SheltonGibson,PHI,WR,24,15,0,0,0,0,0,0,0,0,0,0,3,1,48,48.00,0,0,0,0,0,0,5,5.8,170,0
434,JacobHollister,NWE,TE,25,8,1,0,0,0,0,0,0,0,0,0,5,4,52,13.00,0,0,0,0,0,0,5,9.2,89,0
435,DeShoneKizer,GNB,QB,22,3,0,20,42,187,0,2,5,39,7.80,0,0,0,0,0,0,1,1,0,0,0,5,5.4,58,0
436,EricSaubert,ATL,TE,24,16,1,0,0,0,0,0,0,0,0,0,9,5,48,9.60,0,0,0,0,0,0,5,9.8,93,0
437,DurhamSmythe,MIA,TE,23,15,2,0,0,0,0,0,0,0,0,0,11,6,50,8.33,0,0,0,0,0,0,5,11.0,91,0
438,NealSterling,NYJ,WR,26,5,4,0,0,0,0,0,0,0,0,0,8,6,47,7.83,0,0,0,0,0,0,5,10.7,171,0
439,NateSudfeld,PHI,QB,25,2,0,1,2,22,1,0,2,-2,-1.00,0,0,0,0,0,0,0,0,0,0,0,5,4.7,59,0
440,RocThomas,MIN,RB,23,5,0,0,0,0,0,0,8,30,3.75,0,4,2,21,10.50,0,0,0,0,0,0,5,7.1,117,0
441,DelanieWalker,TEN,TE,34,1,1,0,0,0,0,0,0,0,0,0,7,4,52,13.00,0,0,0,0,0,0,5,9.2,90,0
442,BoboWilson,TAM,WR,23,5,0,0,0,0,0,0,0,0,0,0,5,4,52,13.00,0,0,0,0,0,0,5,9.2,169,0
443,ChadBeebe,MIN,WR,24,3,0,0,0,0,0,0,0,0,0,0,4,4,39,9.75,0,0,0,0,0,0,4,7.9,174,0
444,TommyBohanon,JAX,RB,28,16,6,0,0,0,0,0,1,0,0.00,0,9,6,41,6.83,0,0,0,0,0,0,4,10.1,120,0
445,BenBraunecker,CHI,TE,24,15,2,0,0,0,0,0,0,0,0,0,5,3,42,14.00,0,0,0,0,0,0,4,7.2,95,0
446,JawillDavis,NYG,WR,23,7,0,0,0,0,0,0,0,0,0,0,8,4,40,10.00,0,0,0,0,0,0,4,8.0,172,0
447,TylerErvin,HOU,RB,25,9,0,0,0,0,0,0,0,0,0,0,3,3,35,11.67,0,1,0,0,0,0,4,6.5,126,0
448,RashadGreene,JAX,WR,26,8,1,0,0,0,0,0,0,0,0,0,8,6,60,10.00,0,2,1,0,0,0,4,10.0,173,0
449,TylerKroft,CIN,TE,26,5,2,0,0,0,0,0,0,0,0,0,6,4,36,9.00,0,0,0,0,0,0,4,7.6,98,0
450,MarcedesLewis,GNB,TE,34,16,4,0,0,0,0,0,0,0,0,0,4,3,39,13.00,0,0,0,0,0,0,4,6.9,96,0
451,TJLogan,ARI,RB,24,10,0,0,0,0,0,0,2,2,1.00,0,7,7,37,5.29,0,0,0,0,0,0,4,10.9,121,0
452,TreMadden,SEA,RB,25,14,3,0,0,0,0,0,3,3,1.00,0,3,2,35,17.50,0,0,0,0,0,0,4,5.8,123,0
453,ByronMarshall,WAS,RB,24,6,0,0,0,0,0,0,3,9,3.00,0,6,4,30,7.50,0,0,0,0,0,0,4,7.9,122,0
454,DavidMorgan,MIN,TE,25,11,6,0,0,0,0,0,0,0,0,0,6,5,36,7.20,0,0,0,0,0,0,4,8.6,99,0
455,RooseveltNix,PIT,RB,26,16,0,0,0,0,0,0,1,4,4.00,0,6,4,38,9.50,0,0,0,0,0,0,4,8.2,119,0
456,SamajePerine,WAS,RB,23,5,0,0,0,0,0,0,8,32,4.00,0,4,3,5,1.67,0,0,0,0,0,0,4,6.7,124,0
457,JohnPhillips,ARI,TE,31,8,4,0,0,0,0,0,0,0,0,0,3,3,38,12.67,0,0,0,0,0,0,4,6.8,97,0
458,AudenTate,CIN,WR,21,7,0,0,0,0,0,0,0,0,0,0,12,4,35,8.75,0,0,0,0,0,0,4,7.5,176,0
459,JalenTolliver,ARI,WR,23,3,1,0,0,0,0,0,0,0,0,0,6,3,37,12.33,0,0,0,0,0,0,4,6.7,175,0
460,DavidWilliams,JAX,RB,24,6,0,0,0,0,0,0,8,36,4.50,0,0,0,0,0,0,0,0,0,0,0,4,3.6,125,0
461,DwayneAllen,NWE,TE,28,13,8,0,0,0,0,0,0,0,0,0,4,3,27,9.00,0,0,0,0,0,0,3,5.7,101,0
462,BennyCunningham,CHI,RB,28,15,0,0,0,0,0,0,11,20,1.82,0,2,1,9,9.00,0,0,0,0,0,0,3,3.9,130,0
463,MikeGillislee,NOR,RB,28,4,0,0,0,0,0,0,16,43,2.69,0,1,1,9,9.00,0,1,1,0,0,0,3,4.2,128,0
464,JeremyHill,NWE,RB,26,1,0,0,0,0,0,0,4,25,6.25,0,1,1,6,6.00,0,0,0,0,0,0,3,4.1,129,0
465,JeremyLangford,ATL,RB,27,1,0,0,0,0,0,0,9,25,2.78,0,0,0,0,0,0,0,0,0,0,0,3,2.5,131,0
466,BrianParker,DEN,TE,26,13,1,0,0,0,0,0,0,0,0,0,10,5,33,6.60,0,0,0,0,0,0,3,8.3,100,0
467,CharonePeake,NYJ,WR,26,13,0,0,0,0,0,0,0,0,0,0,3,2,25,12.50,0,0,0,0,0,0,3,4.5,178,0
468,ShaunWilson,TAM,RB,23,5,0,0,0,0,0,0,6,29,4.83,0,5,3,5,1.67,0,0,0,0,0,0,3,6.4,127,0
469,JavonWims,CHI,WR,24,4,0,0,0,0,0,0,0,0,0,0,5,4,32,8.00,0,0,0,0,0,0,3,7.2,177,0
470,JamalAgnew,DET,WR,23,6,0,0,0,0,0,0,1,17,17.00,0,0,0,0,0,0,1,0,0,0,0,2,1.7,188,0
471,NickBellore,DET,RB,29,14,4,0,0,0,0,0,1,0,0.00,0,4,4,15,3.75,0,0,0,0,0,0,2,5.5,140,0
472,TravarisCadet,CAR,RB,29,1,0,0,0,0,0,0,11,17,1.55,0,1,1,5,5.00,0,0,0,0,0,0,2,3.2,132,0
473,MattCassel,DET,QB,36,2,0,7,17,59,0,1,2,13,6.50,0,0,0,0,0,0,0,0,0,0,0,2,1.7,60,0
474,OrsonCharles,CLE,TE,27,13,2,0,0,0,0,0,0,0,0,0,5,3,23,7.67,0,0,0,0,0,0,2,5.3,103,0
475,DerrickColeman,ARI,RB,28,16,4,0,0,0,0,0,2,3,1.50,0,3,2,17,8.50,0,0,0,0,0,0,2,4.0,134,0
476,RiverCracraft,DEN,WR,24,8,0,0,0,0,0,0,0,0,0,0,2,1,44,44.00,0,1,1,0,0,0,2,3.4,179,0
477,SeanCulkin,LAC,TE,25,13,10,0,0,0,0,0,0,0,0,0,1,1,24,24.00,0,0,0,0,0,0,2,3.4,102,0
478,JustinDavis,LAR,RB,23,11,0,0,0,0,0,0,2,19,9.50,0,0,0,0,0,0,0,0,0,0,0,2,1.9,135,0
479,GehrigDieter,KAN,WR,25,4,0,0,0,0,0,0,0,0,0,0,3,1,22,22.00,0,0,0,0,0,0,2,3.2,182,0
480,DavidFluellen,TEN,RB,26,7,0,0,0,0,0,0,4,16,4.00,0,0,0,0,0,0,0,0,0,0,0,2,1.6,138,0
481,GarrettGilbert,CAR,QB,27,1,0,2,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.6,61,0
482,KhaDarelHodge,LAR,WR,23,14,0,0,0,0,0,0,0,0,0,0,3,2,17,8.50,0,0,0,0,0,0,2,3.7,189,0
483,JustinHunter,PIT,WR,27,5,0,0,0,0,0,0,0,0,0,0,13,3,21,7.00,0,0,0,0,0,0,2,5.1,183,0
484,DariusJackson,2TM,RB,25,4,0,0,0,0,0,0,6,16,2.67,0,1,0,0,0,0,0,0,0,0,0,2,1.6,139,0
485,RishardMatthews,2TM,WR,29,8,0,0,0,0,0,0,0,0,0,0,9,5,24,4.80,0,0,0,0,0,0,2,7.4,180,0
486,RayRayMcCloud,BUF,WR,22,10,1,0,0,0,0,0,2,4,2.00,0,6,5,36,7.20,0,2,1,0,0,0,2,7.0,184,0
487,CJProsise,SEA,RB,24,5,0,0,0,0,0,0,1,-3,-3.00,0,3,3,22,7.33,0,0,0,0,0,0,2,4.9,136,0
488,BrianQuick,WAS,WR,29,6,3,0,0,0,0,0,0,0,0,0,3,3,18,6.00,0,0,0,0,0,0,2,4.8,186,0
489,JonathanStewart,NYG,RB,31,3,0,0,0,0,0,0,6,17,2.83,0,0,0,0,0,0,0,0,0,0,0,2,1.7,137,0
490,TyroneSwoopes,SEA,TE,24,1,1,0,0,0,0,0,0,0,0,0,1,1,23,23.00,0,0,0,0,0,0,2,3.3,104,0
491,DeLanceTurner,BAL,RB,23,4,0,0,0,0,0,0,1,4,4.00,0,2,2,17,8.50,0,0,0,0,0,0,2,4.1,133,0
492,MalikTurner,SEA,WR,22,6,0,0,0,0,0,0,0,0,0,0,3,2,20,10.00,0,0,0,0,0,0,2,4.0,185,0
493,BrandonWilds,JAX,RB,25,3,0,0,0,0,0,0,6,15,2.50,0,0,0,0,0,0,0,0,0,0,0,2,1.5,141,0
494,NickWilliams,2TM,WR,28,4,0,0,0,0,0,0,0,0,0,0,5,2,17,8.50,0,0,0,0,0,0,2,3.7,190,0
495,TerranceWilliams,DAL,WR,29,3,2,0,0,0,0,0,0,0,0,0,3,2,18,9.00,0,0,0,0,0,0,2,3.8,187,0
496,BrandonZylstra,MIN,WR,25,16,0,0,0,0,0,0,0,0,0,0,2,1,23,23.00,0,0,0,0,0,0,2,3.3,181,0
497,AmeerAbdullah,2TM,RB,25,10,0,0,0,0,0,0,1,1,1.00,0,4,3,28,9.33,0,1,1,0,0,0,1,3.9,146,0
498,VictorBolden,2TM,WR,23,6,0,0,0,0,0,0,0,0,0,0,4,1,10,10.00,0,0,0,0,0,0,1,2.0,195,0
499,MichaelBurton,CHI,RB,26,8,1,0,0,0,0,0,0,0,0,0,1,1,6,6.00,0,0,0,0,0,0,1,1.6,149,0
500,DamiereByrd,CAR,WR,25,8,0,0,0,0,0,0,0,0,0,0,2,1,8,8.00,0,0,0,0,0,0,1,1.8,198,0
501,JamaalCharles,JAX,RB,32,2,0,0,0,0,0,0,6,7,1.17,0,3,2,7,3.50,0,0,0,0,0,0,1,3.4,142,0
502,SammieCoates,HOU,WR,25,12,0,0,0,0,0,0,0,0,0,0,2,1,12,12.00,0,0,0,0,0,0,1,2.2,193,0
503,AlanCross,TAM,TE,25,14,3,0,0,0,0,0,0,0,0,0,5,2,9,4.50,0,0,0,0,0,0,1,2.9,108,0
504,JoshuaDobbs,PIT,QB,23,5,0,6,12,43,0,1,4,11,2.75,0,0,0,0,0,0,0,0,0,0,0,1,0.8,64,0
505,RossDwelley,SFO,TE,23,11,0,0,0,0,0,0,0,0,0,0,2,2,14,7.00,0,0,0,0,0,0,1,3.4,105,0
506,MattFlanagan,WAS,TE,23,3,1,0,0,0,0,0,0,0,0,0,1,1,14,14.00,0,0,0,0,0,0,1,2.4,106,0
507,RobertGriffinIII,BAL,QB,28,3,0,2,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,63,0
508,JustinHardee,NOR,WR,24,16,0,0,0,0,0,0,0,0,0,0,1,1,10,10.00,0,0,0,0,0,0,1,2.0,196,0
509,KeonHatcher,OAK,WR,24,3,0,0,0,0,0,0,0,0,0,0,2,1,8,8.00,0,0,0,0,0,0,1,1.8,199,0
510,ChadHenne,KAN,QB,33,1,0,2,3,29,0,0,1,3,3.00,0,0,0,0,0,0,0,0,0,0,0,1,1.5,62,0
511,RobertKelley,WAS,RB,26,2,0,0,0,0,0,0,4,8,2.00,0,0,0,0,0,0,0,0,0,0,0,1,0.8,148,0
512,MarcusKemp,KAN,WR,23,16,0,0,0,0,0,0,0,0,0,0,2,1,7,7.00,0,0,0,0,0,0,1,1.7,202,0
513,JeremyKerley,BUF,WR,30,1,1,0,0,0,0,0,0,0,0,0,4,2,7,3.50,0,0,0,0,0,0,1,2.7,203,0
514,DarvinKidsy,WAS,WR,23,2,0,0,0,0,0,0,0,0,0,0,2,1,8,8.00,0,0,0,0,0,0,1,1.8,200,0
515,AllenLazard,GNB,WR,23,1,0,0,0,0,0,0,0,0,0,0,1,1,7,7.00,0,0,0,0,0,0,1,1.7,204,0
516,KhariLee,BUF,TE,26,2,0,0,0,0,0,0,0,0,0,0,1,1,5,5.00,0,0,0,0,0,0,1,1.5,111,0
517,JoshMalone,CIN,WR,22,9,0,0,0,0,0,0,0,0,0,0,5,1,12,12.00,0,0,0,0,0,0,1,2.2,194,0
518,JDMcKissic,SEA,WR,25,5,0,0,0,0,0,0,3,8,2.67,0,1,0,0,0,0,0,0,0,0,0,1,0.8,201,0
